Observation Date,Expiration Date,Mean,Std,Skewness,Kurtosis,5% Quantile,25% Quantile,Median,75% Quantile,95% Quantile,T Return,T-1 Return,T-2 Return,T-3 Return,T-4 Return,Fear and Greed Index,VIX
2021-12-14,2021-12-15,48479.41208848031,2344.358474082393,-1.7532442921999527,10.03657795276076,40407.0,47702.8,48521.100000000006,49396.4,51345.2,0.0107337588163948,0.0345241762326719,-0.0692973753526391,0.013352652721007,0.0466144194002914,21,21.89
2021-12-15,2021-12-16,49099.817653912,1992.658454512048,-0.8178482234095238,6.978243934974248,45912.0,48264.8,49237.5,50111.7,51719.7,-0.0255482024281838,0.0107337588163948,0.0345241762326719,-0.0692973753526391,0.013352652721007,28,19.29
2021-12-16,2021-12-17,48113.182587554,1855.0040767372304,-0.2514987384891085,2.067409798804308,45068.8,47076.4,48152.0,49210.3,51010.7,-0.0320232713999651,-0.0255482024281838,0.0107337588163948,0.0345241762326719,-0.0692973753526391,29,20.57
2021-12-17,2021-12-18,43744.55528267992,2745.332746374051,0.7104800736489666,-2.2547754584671145,42238.2,45756.9,46672.0,47392.0,50975.9,0.0151301731200651,-0.0320232713999651,-0.0255482024281838,0.0107337588163948,0.0345241762326719,23,21.57
2021-12-18,2021-12-19,46752.01438975249,1529.9513199730347,-1.1754816674752115,3.4356817589404987,43842.2,46092.5,46979.0,47690.100000000006,48771.5,-0.0032775271061218,0.0151301731200651,-0.0320232713999651,-0.0255482024281838,0.0107337588163948,24,21.57
2021-12-19,2021-12-20,46828.54411547194,3072.1228046374367,-5.634308691288552,44.95855404253204,43639.9,46623.0,47339.4,47959.7,49028.0,0.0049773921748109,-0.0032775271061218,0.0151301731200651,-0.0320232713999651,-0.0255482024281838,29,21.57
2021-12-20,2021-12-21,46868.56227824115,1736.271085149524,-0.8157908571088522,3.2009624286560365,43642.600000000006,46111.5,47082.8,47866.8,49216.7,0.0412508732374541,0.0049773921748109,-0.0032775271061218,0.0151301731200651,-0.0320232713999651,25,22.87
2021-12-21,2021-12-22,48739.67744531635,1738.5770966094506,-1.2189279993268738,5.99537597140487,45862.8,47968.9,48881.7,49720.100000000006,51142.100000000006,-0.0061905422711137,0.0412508732374541,0.0049773921748109,-0.0032775271061218,0.0151301731200651,27,21.01
2021-12-22,2021-12-23,48590.66584560486,2930.89942919638,-4.669433450230881,38.1515092113821,45774.3,48051.2,48891.0,49726.0,51414.0,0.0452801594542274,-0.0061905422711137,0.0412508732374541,0.0049773921748109,-0.0032775271061218,45,18.63
2021-12-23,2021-12-24,47876.18084504124,1876.2231273962177,-12.506194916617886,-140.82514970153846,47490.0,49917.4,51137.3,52257.2,62764.9,-0.0003700613889668,0.0452801594542274,-0.0061905422711137,0.0412508732374541,0.0049773921748109,34,17.96
2021-12-24,2021-12-25,50904.07770552,1850.493703922944,1.0661136106934437,3.4341309967347176,48392.3,49783.0,50669.8,51736.5,54329.0,-0.0083055488691955,-0.0003700613889668,0.0452801594542274,-0.0061905422711137,0.0412508732374541,41,17.96
2021-12-25,2021-12-26,50661.44387028563,1892.962833748122,1.8326440202329188,8.47691002306681,48251.7,49684.0,50479.0,51300.7,54483.4,0.007429328815574,-0.0083055488691955,-0.0003700613889668,0.0452801594542274,-0.0061905422711137,39,17.96
2021-12-26,2021-12-27,50631.1467833358,1509.0271402101469,-1.0549979214544196,3.939141030445393,47896.600000000006,49961.7,50804.3,51517.8,52690.9,-0.0014594452777345,0.007429328815574,-0.0083055488691955,-0.0003700613889668,0.0452801594542274,37,17.96
2021-12-27,2021-12-28,50903.7875508403,1628.4865241929776,0.0798088660575249,0.4342989077953718,48402.3,49833.5,50782.0,51983.9,53644.5,-0.0643041831297982,-0.0014594452777345,0.007429328815574,-0.0083055488691955,-0.0003700613889668,40,17.68
2021-12-28,2021-12-29,47897.49044344114,1881.7407742326368,2.909624548066138,19.04613445907179,45698.4,46950.9,47683.7,48485.5,50564.600000000006,-0.0229581057839618,-0.0643041831297982,-0.0014594452777345,0.007429328815574,-0.0083055488691955,41,17.54
2021-12-29,2021-12-30,46653.061621781046,2281.5976031229934,0.7366596702073095,1.3682968311646002,43501.8,45402.600000000006,46427.5,47419.600000000006,51742.8,0.0140239790234345,-0.0229581057839618,-0.0643041831297982,-0.0014594452777345,0.007429328815574,27,16.95
2021-12-30,2021-12-31,46585.29458570881,1914.885759523621,-0.0359494438027709,1.0823587407199309,43525.3,45532.3,46701.8,47856.100000000006,49795.3,-0.0193698214926749,0.0140239790234345,-0.0229581057839618,-0.0643041831297982,-0.0014594452777345,22,17.33
2022-01-09,2022-01-10,42121.67392519487,1432.5134167208298,-1.9210197213986573,5.268800044193513,38915.3,41799.9,42442.5,42945.7,43682.5,-0.0010068457032168,-0.0193698214926749,0.0140239790234345,-0.0229581057839618,-0.0643041831297982,23,17.33
2022-01-10,2022-01-11,41632.944544472535,1694.4612929681982,-0.4890530636487596,6.527518411562506,38586.0,41110.0,41781.3,42339.8,44819.2,0.021450400439678,-0.0010068457032168,-0.0193698214926749,0.0140239790234345,-0.0229581057839618,23,19.4
2022-01-11,2022-01-12,42617.83967688482,1328.9158185604945,-0.7024429317733016,4.0756988897309006,40431.600000000006,41969.8,42690.9,43365.8,44555.4,0.0270902769434108,0.021450400439678,-0.0010068457032168,-0.0193698214926749,0.0140239790234345,21,18.41
2022-01-12,2022-01-13,43889.15944221128,1253.3649649002514,-1.163702983660466,1.6807564033658524,41502.3,43153.3,44238.2,44826.8,45341.4,-0.0310574808840993,0.0270902769434108,0.021450400439678,-0.0010068457032168,-0.0193698214926749,22,17.62
2022-01-13,2022-01-14,43005.92147384017,1599.5158589711805,-1.4219867221267306,7.17788756367656,40480.5,42333.0,43158.600000000006,43948.7,45260.600000000006,0.0116761333829025,-0.0310574808840993,0.0270902769434108,0.021450400439678,-0.0010068457032168,21,20.31
2022-01-14,2022-01-15,40722.07673865125,2330.986911251468,1.1441559270454638,-1.6081975099758457,40570.4,42609.600000000006,43191.3,43636.0,44931.4,0.0005648665034966,0.0116761333829025,-0.0310574808840993,0.0270902769434108,0.021450400439678,21,19.19
2022-01-17,2022-01-18,42255.42872323825,1144.4640250228106,1.4493364498751478,4.044157988676713,40876.3,41429.7,42041.5,42845.600000000006,44335.3,0.0035598699462948,0.0005648665034966,0.0116761333829025,-0.0310574808840993,0.0270902769434108,22,19.19
2022-01-18,2022-01-19,42483.9614853295,745.8046484896671,0.3054308007203264,2.663102427745435,41299.0,42049.600000000006,42488.7,42906.3,43616.9,-0.0164768030058258,0.0035598699462948,0.0005648665034966,0.0116761333829025,-0.0310574808840993,24,22.79
2022-01-19,2022-01-20,40128.79920533116,2187.155054147719,1.3883080707276083,-0.8776538398653324,38564.3,41358.0,41913.2,42669.0,44021.9,-0.0237827352261948,-0.0164768030058258,0.0035598699462948,0.0005648665034966,0.0116761333829025,24,23.85
2022-01-20,2022-01-21,40099.61504502373,2250.4289933680707,6.152736809788316,10.28135224279451,32047.2,40430.2,41468.8,42641.100000000006,45681.8,-0.109946159879111,-0.0237827352261948,-0.0164768030058258,0.0035598699462948,0.0005648665034966,24,25.59
2022-01-21,2022-01-22,35750.51672684079,1250.728077330051,2.0222125515349822,3.7880426755352943,34624.8,35417.200000000004,36081.4,36831.8,38331.7,-0.0384262269858507,-0.109946159879111,-0.0237827352261948,-0.0164768030058258,0.0035598699462948,19,28.85
2022-01-22,2022-01-23,34873.02362994504,1410.357145596526,2.4199903490214165,7.26804041233158,33561.700000000004,34461.700000000004,35146.200000000004,35918.0,37717.5,0.0329024713901343,-0.0384262269858507,-0.109946159879111,-0.0237827352261948,-0.0164768030058258,13,28.85
2022-01-23,2022-01-24,36650.17869004392,1564.297530469421,-1.055904658161784,3.3699038139579205,33925.9,35855.8,36790.0,37660.9,38859.7,0.0114067643862018,0.0329024713901343,-0.0384262269858507,-0.109946159879111,-0.0237827352261948,11,28.85
2022-01-24,2022-01-25,33842.73425693738,3187.928915099495,1.13708868416806,-1.6457493611015035,35179.6,36604.9,37276.2,39960.3,38828.1,0.0080950016385566,0.0114067643862018,0.0329024713901343,-0.0384262269858507,-0.109946159879111,13,29.9
2022-01-25,2022-01-26,34096.52319118616,2906.935556143921,1.0436147894434007,-1.549857249810342,34928.3,36531.6,37159.0,37716.4,38681.5,-0.0040391738751032,0.0080950016385566,0.0114067643862018,0.0329024713901343,-0.0384262269858507,12,31.16
